,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lr,Logistic Regression,0.9067,0.9485,0.9067,0.9083,0.9056,0.8003,0.8039,0.469
gbc,Gradient Boosting Classifier,0.9019,0.9507,0.9019,0.9033,0.9008,0.7902,0.7936,0.072
et,Extra Trees Classifier,0.9022,0.9477,0.9022,0.9053,0.9006,0.7895,0.7954,0.047
lightgbm,Light Gradient Boosting Machine,0.9012,0.9509,0.9012,0.9029,0.9001,0.7888,0.7925,0.079
rf,Random Forest Classifier,0.9008,0.9465,0.9008,0.9027,0.8996,0.7876,0.7917,0.061
ada,Ada Boost Classifier,0.9001,0.9435,0.9001,0.9011,0.8991,0.7868,0.7896,0.032
ridge,Ridge Classifier,0.8967,0.9479,0.8967,0.9007,0.8947,0.7769,0.7842,0.008
lda,Linear Discriminant Analysis,0.8964,0.9479,0.8964,0.9003,0.8944,0.7762,0.7834,0.009
svm,SVM - Linear Kernel,0.8857,0.9255,0.8857,0.8859,0.8851,0.7581,0.7594,0.01
qda,Quadratic Discriminant Analysis,0.8616,0.922,0.8616,0.8618,0.8603,0.7051,0.7075,0.01
dt,Decision Tree Classifier,0.8447,0.8387,0.8447,0.8459,0.8449,0.6753,0.6759,0.011
knn,K Neighbors Classifier,0.8454,0.892,0.8454,0.853,0.8404,0.6612,0.6761,0.247
nb,Naive Bayes,0.8416,0.8851,0.8416,0.8418,0.8395,0.6606,0.6643,0.009
dummy,Dummy Classifier,0.6085,0.5,0.6085,0.3702,0.4604,0.0,0.0,0.008
